size;array_type;threshold;time_ms
9600;"almost_sorted";5;1.4406
9700;"almost_sorted";5;1.4367
9800;"almost_sorted";5;1.4716
9900;"almost_sorted";5;1.4774
10000;"almost_sorted";5;1.4643
500;"random";10;0.0751
600;"random";10;0.0869
700;"random";10;0.1161
800;"random";10;0.1313
900;"random";10;0.1468
1000;"random";10;0.1582
1100;"random";10;0.1722
1200;"random";10;0.1883
1300;"random";10;0.2084
1400;"random";10;0.2506
1500;"random";10;0.268
1600;"random";10;0.2837
1700;"random";10;0.3049
1800;"random";10;0.3135
1900;"random";10;0.3295
2000;"random";10;0.3516
2100;"random";10;0.3631
2200;"random";10;0.3801
2300;"random";10;0.3911
2400;"random";10;0.4122
2500;"random";10;0.4231
2600;"random";10;0.4584
2700;"random";10;0.5003
2800;"random";10;0.5419
2900;"random";10;0.5659
3000;"random";10;0.5782
3100;"random";10;0.6173
3200;"random";10;0.6172
3300;"random";10;0.6291
3400;"random";10;0.6549
3500;"random";10;0.6695
3600;"random";10;0.9101
3700;"random";10;0.7956
3800;"random";10;0.7212
3900;"random";10;0.7356
4000;"random";10;0.7543
4100;"random";10;0.7647
4200;"random";10;0.7842
4300;"random";10;0.8001
4400;"random";10;0.821
4500;"random";10;0.8356
4600;"random";10;0.8589
4700;"random";10;0.8719
4800;"random";10;0.8989
4900;"random";10;0.9093
5000;"random";10;0.9257
5100;"random";10;0.9436
5200;"random";10;1.2395
5300;"random";10;1.0344
5400;"random";10;1.0816
5500;"random";10;1.1321
5600;"random";10;1.1673
5700;"random";10;1.1929
5800;"random";10;1.217
5900;"random";10;1.2387
6000;"random";10;1.2613
6100;"random";10;1.2707
6200;"random";10;1.2967
6300;"random";10;1.5698
6400;"random";10;1.3429
6500;"random";10;1.3459
6600;"random";10;1.364
6700;"random";10;1.3875
6800;"random";10;1.4169
6900;"random";10;1.5171
7000;"random";10;1.4437
7100;"random";10;1.458
7200;"random";10;1.5846
7300;"random";10;1.6401
7400;"random";10;1.5062
7500;"random";10;1.5311
7600;"random";10;1.5685
7700;"random";10;1.598
7800;"random";10;1.6043
7900;"random";10;1.6082
8000;"random";10;1.6261
8100;"random";10;1.672
8200;"random";10;1.6597
8300;"random";10;1.6851
8400;"random";10;1.6974
8500;"random";10;1.7376
8600;"random";10;1.7407
8700;"random";10;1.7591
8800;"random";10;1.7827
8900;"random";10;1.8487
9000;"random";10;1.8256
9100;"random";10;1.8361
9200;"random";10;1.8624
9300;"random";10;1.8998
9400;"random";10;1.8862
9500;"random";10;1.9141
9600;"random";10;1.9889
9700;"random";10;1.9691
9800;"random";10;1.9662
9900;"random";10;1.9806
10000;"random";10;2.0102
500;"reversed";10;0.0518
600;"reversed";10;0.0582
700;"reversed";10;0.0797
800;"reversed";10;0.0886
900;"reversed";10;0.0995
1000;"reversed";10;0.1087
1100;"reversed";10;0.1171
1200;"reversed";10;0.1275
1300;"reversed";10;0.143
1400;"reversed";10;0.1681
1500;"reversed";10;0.1808
1600;"reversed";10;0.3249
1700;"reversed";10;0.2085
1800;"reversed";10;0.2589
1900;"reversed";10;0.2299
2000;"reversed";10;0.2467
2100;"reversed";10;0.245
2200;"reversed";10;0.2639
2300;"reversed";10;0.267
2400;"reversed";10;0.283
2500;"reversed";10;0.293
2600;"reversed";10;0.3149
2700;"reversed";10;0.3464
2800;"reversed";10;0.583
2900;"reversed";10;0.386
3000;"reversed";10;0.448
3100;"reversed";10;0.4005
3200;"reversed";10;0.4091
3300;"reversed";10;0.4254
3400;"reversed";10;0.4391
3500;"reversed";10;0.4503
3600;"reversed";10;0.455
3700;"reversed";10;0.4709
3800;"reversed";10;0.623
3900;"reversed";10;0.5044
4000;"reversed";10;0.5361
4100;"reversed";10;0.5168
4200;"reversed";10;0.5332
4300;"reversed";10;0.5468
4400;"reversed";10;0.5661
4500;"reversed";10;0.5652
4600;"reversed";10;0.5732
4700;"reversed";10;0.5959
4800;"reversed";10;0.6017
4900;"reversed";10;0.615
5000;"reversed";10;0.6351
5100;"reversed";10;0.6408
5200;"reversed";10;0.6793
5300;"reversed";10;0.7108
5400;"reversed";10;0.7328
5500;"reversed";10;0.7815
5600;"reversed";10;0.7848
5700;"reversed";10;0.8052
5800;"reversed";10;0.8232
5900;"reversed";10;0.8393
6000;"reversed";10;0.9084
6100;"reversed";10;0.8552
6200;"reversed";10;0.8742
6300;"reversed";10;0.8898
6400;"reversed";10;0.8879
6500;"reversed";10;0.9056
6600;"reversed";10;0.912
6700;"reversed";10;0.9399
6800;"reversed";10;0.9369
6900;"reversed";10;1.0099
7000;"reversed";10;0.9809
7100;"reversed";10;0.9925
7200;"reversed";10;1.0066
7300;"reversed";10;1.1148
7400;"reversed";10;1.026
7500;"reversed";10;1.1156
7600;"reversed";10;1.1693
7700;"reversed";10;1.0601
